genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20 32.97467488021903
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 5.587953456536619
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19 26.872005475701574
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11.5 16.922655715263517
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.618754277891854
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 12.618754277891854
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8 26.72416153319644
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 5.601642710472279
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.618754277891854
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.25 14.669404517453799
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 16.922655715263517
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.5 10.012320328542094
PRUNUS "KWANZAN FLOWERING CHERRY" 2 15 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 0 0 5.587953456536619
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6 32.89253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16 32.062970568104035
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6.75 18.598220396988363
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 10.00684462696783
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19.25 18.269678302532512
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.5 11.597535934291582
PRUNUS "KWANZAN FLOWERING CHERRY" 2 6.5 33.57700205338809
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.58110882956879
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.66050650239562
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11 33.74127310061601
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 29.689253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18.5 32.878850102669404
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.597535934291582
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.5 32.876112251882276
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.5 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 1 14 23.55373032169747
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4.75 11.874058863791923
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 16.528405201916495
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.600273785078713
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20 33.60164271047228
PRUNUS "KWANZAN FLOWERING CHERRY" 2 17 33.596167008898014
PRUNUS "KWANZAN FLOWERING CHERRY" 3 20.5 33.596167008898014
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.550992470910336
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6.5 15.550992470910336
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 6.746064339493498
PRUNUS "KWANZAN FLOWERING CHERRY" 3 29.25 33.60164271047228
